date,lev_0,lev_1,lev_2,lev_3,lev_4,region,fecha_hora_registro
2007-02,0.81,0.17,0.02,0.0,0.0,Bolivia,2007-02-01T00:00:00
2007-03,0.9,0.09,0.01,0.0,0.0,Bolivia,2007-03-01T00:00:00
2007-04,0.87,0.12,0.01,0.0,0.0,Bolivia,2007-04-01T00:00:00
2007-05,0.91,0.08,0.01,0.0,0.0,Bolivia,2007-05-01T00:00:00
2007-06,0.81,0.15,0.03,0.01,0.0,Bolivia,2007-06-01T00:00:00
2007-07,0.76,0.2,0.03,0.01,0.0,Bolivia,2007-07-01T00:00:00
2007-08,0.61,0.32,0.06,0.01,0.0,Bolivia,2007-08-01T00:00:00
2007-09,0.71,0.23,0.05,0.01,0.0,Bolivia,2007-09-01T00:00:00
2007-10,0.75,0.22,0.03,0.0,0.0,Bolivia,2007-10-01T00:00:00
2007-11,0.87,0.12,0.01,0.0,0.0,Bolivia,2007-11-01T00:00:00
2007-12,0.9,0.09,0.01,0.0,0.0,Bolivia,2007-12-01T00:00:00
2008-01,0.68,0.3,0.02,0.0,0.0,Bolivia,2008-01-01T00:00:00
2008-02,0.91,0.09,0.01,0.0,0.0,Bolivia,2008-02-01T00:00:00
2008-03,0.83,0.16,0.01,0.0,0.0,Bolivia,2008-03-01T00:00:00
2008-04,0.79,0.16,0.04,0.01,0.0,Bolivia,2008-04-01T00:00:00
2008-05,0.75,0.2,0.04,0.01,0.0,Bolivia,2008-05-01T00:00:00
2008-06,0.67,0.29,0.03,0.0,0.0,Bolivia,2008-06-01T00:00:00
2008-07,0.65,0.28,0.06,0.01,0.0,Bolivia,2008-07-01T00:00:00
2008-08,0.57,0.36,0.06,0.01,0.0,Bolivia,2008-08-01T00:00:00
2008-09,0.46,0.39,0.14,0.01,0.0,Bolivia,2008-09-01T00:00:00
2008-10,0.67,0.28,0.05,0.0,0.0,Bolivia,2008-10-01T00:00:00
2008-11,0.73,0.24,0.03,0.0,0.0,Bolivia,2008-11-01T00:00:00
2008-12,0.76,0.23,0.02,0.0,0.0,Bolivia,2008-12-01T00:00:00
2009-01,0.81,0.17,0.02,0.0,0.0,Bolivia,2009-01-01T00:00:00
2009-02,0.83,0.15,0.01,0.0,0.0,Bolivia,2009-02-01T00:00:00
2009-03,0.88,0.12,0.01,0.0,0.0,Bolivia,2009-03-01T00:00:00
2009-04,0.84,0.14,0.02,0.0,0.0,Bolivia,2009-04-01T00:00:00
2009-05,0.85,0.14,0.01,0.0,0.0,Bolivia,2009-05-01T00:00:00
2009-06,0.92,0.07,0.01,0.0,0.0,Bolivia,2009-06-01T00:00:00
2009-07,0.83,0.16,0.01,0.0,0.0,Bolivia,2009-07-01T00:00:00
2009-08,0.88,0.1,0.02,0.0,0.0,Bolivia,2009-08-01T00:00:00
2009-09,0.84,0.14,0.01,0.0,0.0,Bolivia,2009-09-01T00:00:00
2009-10,0.69,0.21,0.09,0.01,0.0,Bolivia,2009-10-01T00:00:00
2009-11,0.77,0.19,0.04,0.0,0.0,Bolivia,2009-11-01T00:00:00
2009-12,0.87,0.12,0.01,0.0,0.0,Bolivia,2009-12-01T00:00:00
2010-01,0.89,0.1,0.01,0.0,0.0,Bolivia,2010-01-01T00:00:00
2010-02,0.85,0.13,0.01,0.0,0.0,Bolivia,2010-02-01T00:00:00
2010-03,0.86,0.13,0.01,0.0,0.0,Bolivia,2010-03-01T00:00:00
2010-04,0.46,0.42,0.11,0.01,0.0,Bolivia,2010-04-01T00:00:00
2010-05,0.45,0.36,0.16,0.03,0.0,Bolivia,2010-05-01T00:00:00
2010-06,0.42,0.32,0.21,0.05,0.01,Bolivia,2010-06-01T00:00:00
2010-07,0.43,0.33,0.17,0.07,0.0,Bolivia,2010-07-01T00:00:00
2010-08,0.39,0.41,0.14,0.05,0.0,Bolivia,2010-08-01T00:00:00
2010-09,0.36,0.43,0.18,0.04,0.0,Bolivia,2010-09-01T00:00:00
2010-10,0.46,0.42,0.1,0.02,0.0,Bolivia,2010-10-01T00:00:00
2010-11,0.44,0.38,0.15,0.03,0.0,Bolivia,2010-11-01T00:00:00
2010-12,0.49,0.37,0.11,0.03,0.0,Bolivia,2010-12-01T00:00:00
2011-01,0.61,0.31,0.07,0.01,0.0,Bolivia,2011-01-01T00:00:00
2011-02,0.73,0.24,0.02,0.0,0.0,Bolivia,2011-02-01T00:00:00
2011-03,0.75,0.21,0.04,0.0,0.0,Bolivia,2011-03-01T00:00:00
2011-04,0.91,0.08,0.01,0.0,0.0,Bolivia,2011-04-01T00:00:00
2011-05,0.86,0.13,0.01,0.0,0.0,Bolivia,2011-05-01T00:00:00
2011-06,0.65,0.28,0.06,0.01,0.0,Bolivia,2011-06-01T00:00:00
2011-07,0.57,0.34,0.08,0.01,0.0,Bolivia,2011-07-01T00:00:00
2011-08,0.55,0.37,0.08,0.01,0.0,Bolivia,2011-08-01T00:00:00
2011-09,0.6,0.31,0.08,0.01,0.0,Bolivia,2011-09-01T00:00:00
2011-10,0.72,0.22,0.05,0.01,0.0,Bolivia,2011-10-01T00:00:00
2011-11,0.74,0.21,0.04,0.0,0.0,Bolivia,2011-11-01T00:00:00
2011-12,0.8,0.18,0.02,0.0,0.0,Bolivia,2011-12-01T00:00:00
2012-01,0.83,0.16,0.02,0.0,0.0,Bolivia,2012-01-01T00:00:00
2012-02,0.85,0.14,0.01,0.0,0.0,Bolivia,2012-02-01T00:00:00
2012-03,0.95,0.05,0.0,0.0,0.0,Bolivia,2012-03-01T00:00:00
2012-04,0.89,0.11,0.01,0.0,0.0,Bolivia,2012-04-01T00:00:00
2012-05,0.9,0.09,0.01,0.0,0.0,Bolivia,2012-05-01T00:00:00
2012-06,0.96,0.04,0.0,0.0,0.0,Bolivia,2012-06-01T00:00:00
2012-07,0.97,0.03,0.0,0.0,0.0,Bolivia,2012-07-01T00:00:00
2012-08,0.87,0.12,0.02,0.0,0.0,Bolivia,2012-08-01T00:00:00
2012-09,0.77,0.21,0.03,0.0,0.0,Bolivia,2012-09-01T00:00:00
2012-10,0.68,0.27,0.04,0.01,0.0,Bolivia,2012-10-01T00:00:00
2012-11,0.78,0.19,0.03,0.0,0.0,Bolivia,2012-11-01T00:00:00
2012-12,0.93,0.07,0.0,0.0,0.0,Bolivia,2012-12-01T00:00:00
2013-01,0.94,0.06,0.0,0.0,0.0,Bolivia,2013-01-01T00:00:00
2013-02,0.8,0.17,0.02,0.0,0.0,Bolivia,2013-02-01T00:00:00
2013-03,0.87,0.1,0.02,0.0,0.0,Bolivia,2013-03-01T00:00:00
2013-04,0.65,0.29,0.05,0.01,0.0,Bolivia,2013-04-01T00:00:00
2013-05,0.52,0.42,0.05,0.01,0.0,Bolivia,2013-05-01T00:00:00
2013-06,0.78,0.18,0.04,0.0,0.0,Bolivia,2013-06-01T00:00:00
2013-07,0.93,0.06,0.01,0.0,0.0,Bolivia,2013-07-01T00:00:00
2013-08,0.89,0.09,0.02,0.0,0.0,Bolivia,2013-08-01T00:00:00
